conv1, 1, 412766, (32, 2), (3, 1), (22, 10), 0.65625,compute bound
conv1, 2, 414124, (64, 1), (3, 1), (22, 10), 0.4375,compute bound
conv1, 3, 478896, (64, 1), (3, 1), (12, 19), 0.4375,compute bound
layer_64_1_conv4, 1, 50688, (64, 4), (64, 1), (8, 7), 0.4375,memory bound
layer_64_1_conv4, 2, 50688, (64, 4), (64, 1), (8, 7), 0.4375,memory bound
layer_64_1_conv4, 3, 54560, (256, 1), (64, 1), (14, 4), 0.4375,memory bound
layer_64_1_conv1, 1, 13056, (64, 1), (64, 1), (8, 7), 0.4375,memory bound
layer_64_1_conv1, 2, 13056, (64, 1), (64, 1), (8, 7), 0.4375,memory bound
layer_64_1_conv1, 3, 15552, (64, 1), (64, 1), (12, 5), 0.4375,memory bound
layer_64_1_conv2, 1, 94160, (32, 2), (8, 8), (18, 3), 0.4375,memory bound
layer_64_1_conv2, 2, 94896, (64, 1), (8, 8), (18, 3), 0.4375,memory bound
layer_64_1_conv2, 3, 110511, (64, 1), (8, 8), (18, 3), 0.4375,compute bound
layer_64_1_conv3, 1, 50688, (64, 4), (64, 1), (8, 7), 0.4375,memory bound
layer_64_1_conv3, 2, 50688, (64, 4), (64, 1), (8, 7), 0.4375,memory bound
layer_64_1_conv3, 3, 54560, (256, 1), (64, 1), (14, 4), 0.4375,memory bound
layer_64_2_conv1, 1, 50688, (64, 1), (64, 4), (8, 7), 0.4375,memory bound
layer_64_2_conv1, 2, 50688, (64, 1), (64, 4), (8, 7), 0.4375,memory bound
layer_64_2_conv1, 3, 58496, (64, 1), (64, 4), (28, 2), 0.4375,compute bound
layer_64_2_conv2, 1, 94160, (32, 2), (8, 8), (18, 3), 0.4375,memory bound
layer_64_2_conv2, 2, 94896, (64, 1), (8, 8), (18, 3), 0.4375,memory bound
layer_64_2_conv2, 3, 110511, (64, 1), (8, 8), (18, 3), 0.4375,compute bound
layer_64_2_conv3, 1, 50688, (64, 4), (64, 1), (8, 7), 0.4375,memory bound
layer_64_2_conv3, 2, 50688, (64, 4), (64, 1), (8, 7), 0.4375,memory bound
layer_64_2_conv3, 3, 54560, (256, 1), (64, 1), (14, 4), 0.4375,memory bound
layer_64_3_conv1, 1, 50688, (64, 1), (64, 4), (8, 7), 0.4375,memory bound
layer_64_3_conv1, 2, 50688, (64, 1), (64, 4), (8, 7), 0.4375,memory bound
layer_64_3_conv1, 3, 58496, (64, 1), (64, 4), (28, 2), 0.4375,compute bound
layer_64_3_conv2, 1, 94160, (32, 2), (8, 8), (18, 3), 0.4375,memory bound
layer_64_3_conv2, 2, 94896, (64, 1), (8, 8), (18, 3), 0.4375,memory bound
layer_64_3_conv2, 3, 110511, (64, 1), (8, 8), (18, 3), 0.4375,compute bound
layer_64_3_conv3, 1, 50688, (64, 4), (64, 1), (8, 7), 0.4375,memory bound
layer_64_3_conv3, 2, 50688, (64, 4), (64, 1), (8, 7), 0.4375,memory bound
layer_64_3_conv3, 3, 54560, (256, 1), (64, 1), (14, 4), 0.4375,memory bound
layer_128_1_conv4, 1, 217452, (172, 3), (128, 2), (28, 2), 0.686046511627907,compute bound
