Layer Name,IFMAP Height,IFMAP Width,Filter Height,Filter Height,Channels,Num Filter,Stride
Conv1,224,224,3,3,3,64,1,
Conv2,224,224,3,3,64,64,1,
Conv3,112,112,3,3,64,128,1,
Conv4,112,112,3,3,128,128,1,
Conv5,56,56,3,3,128,256,1,
Conv6,56,56,3,3,256,256,1,
Conv7,56,56,3,3,256,256,1,
Conv8,28,28,3,3,256,512,1,
Conv9,28,28,3,3,512,512,1,
Conv10,28,28,3,3,512,512,1,
Conv11,14,14,3,3,512,512,1,
Conv12,14,14,3,3,512,512,1,
Conv13,14,14,3,3,512,512,1,
Conv14,1,1,1,1,25088,4096,1,
Conv15,1,1,1,1,4096,4096,1,
Conv16,1,1,1,1,4096,1000,1,
