Conv1, 51097, 16, 2, 3, 1, 16, 7, 3, 2, 0.1875,2, memory bound
Conv2, 58660, 1, 1, 8, 4, 22, 5, 3, 1, 0.0,2, memory bound
Conv3, 51200, 16, 1, 16, 2, 16, 7, 1, 1, 0.1875,2, memory bound
Conv4, 151552, 16, 6, 16, 1, 16, 7, 1, 1, 0.1875,2, memory bound
Conv5, 163546, 1, 1, 16, 6, 14, 4, 3, 2, 0.0625,2, memory bound
Conv6, 38808, 24, 1, 24, 4, 14, 4, 1, 1, 0.16666666666666666,2, memory bound
Conv7, 57624, 24, 6, 24, 1, 14, 4, 1, 1, 0.16666666666666666,2, memory bound
Conv8, 66429, 1, 1, 18, 8, 18, 3, 3, 1, 0.05555555555555555,2, memory bound
Conv9, 57624, 24, 1, 24, 6, 14, 4, 1, 1, 0.16666666666666666,2, memory bound
Conv10, 57624, 24, 6, 24, 1, 14, 4, 1, 1, 0.16666666666666666,2, memory bound
Conv11, 62910, 1, 1, 18, 8, 14, 2, 3, 2, 0.05555555555555555,2, memory bound
Conv12, 15778, 32, 1, 36, 4, 14, 2, 1, 1, 0.1875,2, memory bound
Conv13, 20384, 32, 6, 32, 1, 14, 2, 1, 1, 0.1875,2, memory bound
Conv14, 23250, 1, 1, 20, 10, 26, 1, 3, 1, 0.1,2, memory bound
Conv15, 20384, 32, 1, 32, 6, 14, 2, 1, 1, 0.1875,2, memory bound
Conv16, 20384, 32, 6, 32, 1, 14, 2, 1, 1, 0.1875,2, memory bound
Conv17, 23250, 1, 1, 20, 10, 26, 1, 3, 1, 0.1,2, memory bound
Conv18, 20384, 32, 1, 32, 6, 14, 2, 1, 1, 0.1875,2, memory bound
Conv19, 20384, 32, 6, 32, 1, 14, 2, 1, 1, 0.1875,2, memory bound
Conv20, 23295, 1, 1, 24, 8, 14, 1, 3, 2, 0.08333333333333333,2, memory bound
Conv21, 7168, 64, 1, 64, 3, 8, 2, 1, 1, 0.53125,2, memory bound
Conv22, 12544, 64, 6, 64, 1, 14, 1, 1, 1, 0.296875,2, memory bound
Conv23, 10768, 1, 1, 32, 12, 12, 1, 3, 1, 0.09375,2, memory bound
Conv24, 12544, 64, 1, 64, 6, 14, 1, 1, 1, 0.296875,2, memory bound
Conv25, 12544, 64, 6, 64, 1, 14, 1, 1, 1, 0.296875,2, memory bound
Conv26, 10768, 1, 1, 32, 12, 12, 1, 3, 1, 0.09375,2, memory bound
Conv27, 12544, 64, 1, 64, 6, 14, 1, 1, 1, 0.296875,2, memory bound
Conv28, 12544, 64, 6, 64, 1, 14, 1, 1, 1, 0.296875,2, memory bound
Conv29, 10768, 1, 1, 32, 12, 12, 1, 3, 1, 0.09375,2, memory bound
Conv30, 12544, 64, 1, 64, 6, 14, 1, 1, 1, 0.296875,2, memory bound
Conv31, 12544, 64, 6, 64, 1, 14, 1, 1, 1, 0.296875,2, memory bound
Conv32, 10768, 1, 1, 32, 12, 12, 1, 3, 1, 0.09375,2, memory bound
